Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
WRMA-Android Regression,,,,27-03-2025 20:07:04,27-03-2025 20:11:06,4m - 2.213s,PASSED
,,,,,,,
Test Cases/Guest User Mode/C666-C719-C738_GuestUserMode,,"C666-Verify that the Settings in Guest Mode is displayed correctly
C719-Verify that the app version on the Settings menu in Guest Mode is correct
C738-Verify that the bottom navbar is displayed correctly when the user is in Guest state",,27-03-2025 20:07:04,27-03-2025 20:08:27,1m - 23.519s,PASSED
"startApplication(""/Users/gv.vignesh/Downloads/WGR-Android-Automation/App Folder/universal.apk"", false)",,Launch the Westgate mobile application,,27-03-2025 20:07:04,27-03-2025 20:07:10,5.913s,PASSED
delay(10),,Wait for the application to load completely,,27-03-2025 20:07:10,27-03-2025 20:07:20,10.018s,PASSED
"tap(findTestObject(""Object Repository/Repo/android.widget.TextView - Continue as a Guest""), 0)",,"Navigate through initial screen by tapping ""Continue as a Guest""",,27-03-2025 20:07:20,27-03-2025 20:07:20,0.454s,PASSED
delay(10),,Wait for guest mode initialization,,27-03-2025 20:07:20,27-03-2025 20:07:30,10.010s,PASSED
"tap(findTestObject(""Object Repository/Repo/android.widget.Button - menu""), 0)",,Open application menu,,27-03-2025 20:07:30,27-03-2025 20:07:30,0.196s,PASSED
delay(20),,Wait for menu to fully expand,,27-03-2025 20:07:30,27-03-2025 20:07:50,20.011s,PASSED
"tap(findTestObject(""Object Repository/Repo/android.widget.TabWidget (1)""), 0)",,Navigate to version information tab,,27-03-2025 20:07:50,27-03-2025 20:07:55,4.913s,PASSED
delay(10),,Wait for version information to load,,27-03-2025 20:07:55,27-03-2025 20:08:05,10.012s,PASSED
"actualVersionText = getText(findTestObject(""Object Repository/Repo/android.widget.Button - Version 2.81.111""), 0)",,Capture the actual version text,,27-03-2025 20:08:05,27-03-2025 20:08:05,0.082s,PASSED
"expectedVersionText = ""Version 2.81.111""",,Verify application version,,27-03-2025 20:08:05,27-03-2025 20:08:05,0.000s,PASSED
assert actualVersionText == expectedVersionText,,,,27-03-2025 20:08:05,27-03-2025 20:08:05,0.001s,PASSED
println(Version verification successful: $actualVersionText),,,,27-03-2025 20:08:05,27-03-2025 20:08:06,0.014s,PASSED
"tap(findTestObject(""Object Repository/Repo/android.widget.Button - menu""), 0)",,Return to home screen,,27-03-2025 20:08:06,27-03-2025 20:08:06,0.073s,PASSED
delay(10),,,,27-03-2025 20:08:06,27-03-2025 20:08:16,10.010s,PASSED
"homeElementExists = verifyElementExist(findTestObject(""Object Repository/Repo/android.view.View - Home""), 0)",,"Verify ""Home"" element exists",,27-03-2025 20:08:16,27-03-2025 20:08:16,0.075s,PASSED
"assert homeElementExists : ""Element 'Home' does not exist.""",,,,27-03-2025 20:08:16,27-03-2025 20:08:16,0.001s,PASSED
"homeText = getText(findTestObject(""Object Repository/Repo/android.view.View - Home""), 0)",,"Retrieve and verify ""Home"" text",,27-03-2025 20:08:16,27-03-2025 20:08:16,0.044s,PASSED
"assert homeText == ""Home""",,,,27-03-2025 20:08:16,27-03-2025 20:08:16,0.000s,PASSED
"println(""Home screen verification successful."")",,,,27-03-2025 20:08:16,27-03-2025 20:08:16,0.001s,PASSED
"tap(findTestObject(""Object Repository/Repo/android.view.View - My Account""), 0)",,"Navigate to ""My Account"" section",,27-03-2025 20:08:16,27-03-2025 20:08:16,0.085s,PASSED
delay(10),,,,27-03-2025 20:08:16,27-03-2025 20:08:26,10.010s,PASSED
"myAccountElementExists = verifyElementExist(findTestObject(""Object Repository/Repo/android.view.View - My Account""), 0)",,"Verify ""My Account"" element exists",,27-03-2025 20:08:26,27-03-2025 20:08:26,0.102s,PASSED
"assert myAccountElementExists : ""Element 'My Account' does not exist.""",,,,27-03-2025 20:08:26,27-03-2025 20:08:26,0.000s,PASSED
"myAccountText = getText(findTestObject(""Object Repository/Repo/android.view.View - My Account""), 0)",,"Retrieve and verify ""My Account"" text",,27-03-2025 20:08:26,27-03-2025 20:08:26,0.050s,PASSED
"assert myAccountText == ""My Account""",,,,27-03-2025 20:08:26,27-03-2025 20:08:26,0.001s,PASSED
"println(""My Account screen verification successful."")",,,,27-03-2025 20:08:26,27-03-2025 20:08:26,0.000s,PASSED
"println(""All test verifications completed successfully!"")",,,,27-03-2025 20:08:26,27-03-2025 20:08:26,0.001s,PASSED
closeApplication(),,Close the mobile application,,27-03-2025 20:08:26,27-03-2025 20:08:27,1.349s,PASSED
,,,,,,,
Test Cases/Guest User Mode/C764-C793_GuestUserMode,,Verify that the Login Now tile is redirected to the OAM website,,27-03-2025 20:08:27,27-03-2025 20:11:06,2m - 38.641s,PASSED
"startApplication(""/Users/gv.vignesh/Downloads/WGR-Android-Automation/App Folder/app-debug.apk"", true)",,Launch the application,,27-03-2025 20:08:27,27-03-2025 20:08:34,6.965s,PASSED
delay(10),,,,27-03-2025 20:08:34,27-03-2025 20:08:44,10.015s,PASSED
"verifyElementExist(findTestObject(""Object Repository/Repo/android.view.View - Home""), 0)",,Verify Home element exists,,27-03-2025 20:08:44,27-03-2025 20:08:45,0.271s,PASSED
delay(5),,,,27-03-2025 20:08:45,27-03-2025 20:08:50,5.010s,PASSED
"tap(findTestObject(""Object Repository/Repo/android.view.View - Home""), 0)",,Tap on Home,,27-03-2025 20:08:50,27-03-2025 20:08:50,0.179s,PASSED
delay(10),,,,27-03-2025 20:08:50,27-03-2025 20:09:00,10.008s,PASSED
"verifyElementExist(findTestObject(""Object Repository/Repo/android.view.View - Home (1)""), 0)",,Verify Home element exists after tapping,,27-03-2025 20:09:00,27-03-2025 20:09:00,0.116s,PASSED
delay(5),,,,27-03-2025 20:09:00,27-03-2025 20:09:05,5.007s,PASSED
"verifyElementExist(findTestObject(""Object Repository/Repo/android.widget.TextView-Slide""), 0)",,Verify Slide text is present,,27-03-2025 20:09:05,27-03-2025 20:09:05,0.092s,PASSED
startX = 1000,,Perform Swipe action,,27-03-2025 20:09:05,27-03-2025 20:09:05,0.001s,PASSED
startY = 2000,,,,27-03-2025 20:09:05,27-03-2025 20:09:05,0.000s,PASSED
endX = 200,,,,27-03-2025 20:09:05,27-03-2025 20:09:05,0.000s,PASSED
endY = 1000,,,,27-03-2025 20:09:05,27-03-2025 20:09:05,0.000s,PASSED
"swipe(startX, startY, endX, endY)",,,,27-03-2025 20:09:05,27-03-2025 20:09:06,0.851s,PASSED
delay(5),,,,27-03-2025 20:09:06,27-03-2025 20:09:11,5.006s,PASSED
"homeText = View - Home (1)""), 0).trim()",,Get and verify Home text,,27-03-2025 20:09:11,27-03-2025 20:09:11,0.103s,PASSED
"println(""Home Text: "" + homeText)",,,,27-03-2025 20:09:11,27-03-2025 20:09:11,0.003s,PASSED
"verifyEqual(homeText, ""Home"", STOP_ON_FAILURE)",,,,27-03-2025 20:09:11,27-03-2025 20:09:11,0.005s,PASSED
delay(5),,,,27-03-2025 20:09:11,27-03-2025 20:09:16,5.009s,PASSED
"verifyElementExist(findTestObject(""Object Repository/Repo/android.view.View - My Account (1)""), 0)",,Verify My Account element exists,,27-03-2025 20:09:16,27-03-2025 20:09:16,0.106s,PASSED
delay(5),,,,27-03-2025 20:09:16,27-03-2025 20:09:21,5.010s,PASSED
"myAccountText = View - My Account (1)""), 0).trim()",,Get and verify My Account text,,27-03-2025 20:09:21,27-03-2025 20:09:22,0.744s,PASSED
"println(""My Account Text: "" + myAccountText)",,,,27-03-2025 20:09:22,27-03-2025 20:09:22,0.001s,PASSED
"verifyEqual(myAccountText, ""My Account"", STOP_ON_FAILURE)",,,,27-03-2025 20:09:22,27-03-2025 20:09:22,0.003s,PASSED
delay(15),,,,27-03-2025 20:09:22,27-03-2025 20:09:37,15.011s,PASSED
"scrollToText(""Recommended for you"")",,Scroll to text: Recommended for you,,27-03-2025 20:09:37,27-03-2025 20:09:38,0.808s,PASSED
delay(5),,,,27-03-2025 20:09:38,27-03-2025 20:09:43,5.010s,PASSED
delay(5),,,,27-03-2025 20:09:43,27-03-2025 20:09:48,5.010s,PASSED
"verifyElementExist(findTestObject(""Object Repository/Repo/android.widget.TextView - RECOMMENDED FOR YOU""), 0)",,Verify Recommended for you text is present,,27-03-2025 20:09:48,27-03-2025 20:09:48,0.115s,PASSED
delay(5),,,,27-03-2025 20:09:48,27-03-2025 20:09:53,5.009s,PASSED
"recommendedText = TextView - RECOMMENDED FOR YOU""), 0).trim()",,Get and verify Recommended for you text,,27-03-2025 20:09:53,27-03-2025 20:09:53,0.115s,PASSED
"println(""Recommended Text: "" + recommendedText)",,,,27-03-2025 20:09:53,27-03-2025 20:09:53,0.001s,PASSED
"verifyEqual(recommendedText, ""RECOMMENDED FOR YOU"", STOP_ON_FAILURE)",,,,27-03-2025 20:09:53,27-03-2025 20:09:53,0.001s,PASSED
delay(5),,,,27-03-2025 20:09:53,27-03-2025 20:09:58,5.008s,PASSED
"verifyElementExist(findTestObject(""Object Repository/Repo/android.widget.TextView - THINGS TO DO""), 0)",,Verify Things to Do section is present,,27-03-2025 20:09:58,27-03-2025 20:09:58,0.084s,PASSED
delay(5),,,,27-03-2025 20:09:58,27-03-2025 20:10:03,5.009s,PASSED
"thingsToDoText = TextView - THINGS TO DO""), 0).trim()",,Get and verify Things to Do text,,27-03-2025 20:10:03,27-03-2025 20:10:03,0.118s,PASSED
"println(""Things to Do Text: "" + thingsToDoText)",,,,27-03-2025 20:10:03,27-03-2025 20:10:03,0.001s,PASSED
"verifyEqual(thingsToDoText, ""THINGS TO DO"", STOP_ON_FAILURE)",,,,27-03-2025 20:10:03,27-03-2025 20:10:03,0.001s,PASSED
delay(5),,,,27-03-2025 20:10:03,27-03-2025 20:10:08,5.009s,PASSED
"verifyElementExist(findTestObject(""Object Repository/Repo/android.view.View-gain access""), 0)",,Verify Gain Access section is present,,27-03-2025 20:10:08,27-03-2025 20:10:08,0.107s,PASSED
