Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
WRMA-Android Regression,,,,27-03-2025 19:54:32,27-03-2025 19:59:18,4m - 46.253s,PASSED
,,,,,,,
Test Cases/Guest User Mode/C666-C719-C738_GuestUserMode,,"C666-Verify that the Settings in Guest Mode is displayed correctly
C719-Verify that the app version on the Settings menu in Guest Mode is correct
C738-Verify that the bottom navbar is displayed correctly when the user is in Guest state",,27-03-2025 19:54:32,27-03-2025 19:56:13,1m - 41.562s,PASSED
"startApplication(""/Users/gv.vignesh/Downloads/WGR-Android-Automation/App Folder/universal.apk"", false)",,Launch the Westgate mobile application,,27-03-2025 19:54:32,27-03-2025 19:54:42,10.378s,PASSED
delay(10),,Wait for the application to load completely,,27-03-2025 19:54:42,27-03-2025 19:54:52,10.019s,PASSED
"tap(findTestObject(""Object Repository/Repo/android.widget.TextView - Continue as a Guest""), 0)",,"Navigate through initial screen by tapping ""Continue as a Guest""",,27-03-2025 19:54:52,27-03-2025 19:54:53,0.365s,PASSED
delay(10),,Wait for guest mode initialization,,27-03-2025 19:54:53,27-03-2025 19:55:03,10.011s,PASSED
"tap(findTestObject(""Object Repository/Repo/android.widget.Button - menu""), 0)",,Open application menu,,27-03-2025 19:55:03,27-03-2025 19:55:03,0.156s,PASSED
delay(20),,Wait for menu to fully expand,,27-03-2025 19:55:03,27-03-2025 19:55:23,20.012s,PASSED
"tap(findTestObject(""Object Repository/Repo/android.widget.TabWidget (1)""), 0)",,Navigate to version information tab,,27-03-2025 19:55:23,27-03-2025 19:55:42,19.034s,PASSED
delay(10),,Wait for version information to load,,27-03-2025 19:55:42,27-03-2025 19:55:52,10.006s,PASSED
"actualVersionText = getText(findTestObject(""Object Repository/Repo/android.widget.Button - Version 2.81.111""), 0)",,Capture the actual version text,,27-03-2025 19:55:52,27-03-2025 19:55:52,0.089s,PASSED
"expectedVersionText = ""Version 2.81.111""",,Verify application version,,27-03-2025 19:55:52,27-03-2025 19:55:52,0.001s,PASSED
assert actualVersionText == expectedVersionText,,,,27-03-2025 19:55:52,27-03-2025 19:55:52,0.001s,PASSED
println(Version verification successful: $actualVersionText),,,,27-03-2025 19:55:52,27-03-2025 19:55:52,0.015s,PASSED
"tap(findTestObject(""Object Repository/Repo/android.widget.Button - menu""), 0)",,Return to home screen,,27-03-2025 19:55:52,27-03-2025 19:55:52,0.063s,PASSED
delay(10),,,,27-03-2025 19:55:52,27-03-2025 19:56:02,10.008s,PASSED
"homeElementExists = verifyElementExist(findTestObject(""Object Repository/Repo/android.view.View - Home""), 0)",,"Verify ""Home"" element exists",,27-03-2025 19:56:02,27-03-2025 19:56:02,0.064s,PASSED
"assert homeElementExists : ""Element 'Home' does not exist.""",,,,27-03-2025 19:56:02,27-03-2025 19:56:02,0.001s,PASSED
"homeText = getText(findTestObject(""Object Repository/Repo/android.view.View - Home""), 0)",,"Retrieve and verify ""Home"" text",,27-03-2025 19:56:02,27-03-2025 19:56:02,0.029s,PASSED
"assert homeText == ""Home""",,,,27-03-2025 19:56:02,27-03-2025 19:56:02,0.000s,PASSED
"println(""Home screen verification successful."")",,,,27-03-2025 19:56:02,27-03-2025 19:56:02,0.001s,PASSED
"tap(findTestObject(""Object Repository/Repo/android.view.View - My Account""), 0)",,"Navigate to ""My Account"" section",,27-03-2025 19:56:02,27-03-2025 19:56:02,0.061s,PASSED
delay(10),,,,27-03-2025 19:56:02,27-03-2025 19:56:12,10.008s,PASSED
"myAccountElementExists = verifyElementExist(findTestObject(""Object Repository/Repo/android.view.View - My Account""), 0)",,"Verify ""My Account"" element exists",,27-03-2025 19:56:12,27-03-2025 19:56:12,0.063s,PASSED
"assert myAccountElementExists : ""Element 'My Account' does not exist.""",,,,27-03-2025 19:56:12,27-03-2025 19:56:12,0.000s,PASSED
"myAccountText = getText(findTestObject(""Object Repository/Repo/android.view.View - My Account""), 0)",,"Retrieve and verify ""My Account"" text",,27-03-2025 19:56:12,27-03-2025 19:56:12,0.029s,PASSED
"assert myAccountText == ""My Account""",,,,27-03-2025 19:56:12,27-03-2025 19:56:12,0.000s,PASSED
"println(""My Account screen verification successful."")",,,,27-03-2025 19:56:12,27-03-2025 19:56:12,0.001s,PASSED
"println(""All test verifications completed successfully!"")",,,,27-03-2025 19:56:12,27-03-2025 19:56:12,0.000s,PASSED
closeApplication(),,Close the mobile application,,27-03-2025 19:56:12,27-03-2025 19:56:13,1.057s,PASSED
,,,,,,,
Test Cases/Guest User Mode/C764-C793_GuestUserMode,,Verify that the Login Now tile is redirected to the OAM website,,27-03-2025 19:56:13,27-03-2025 19:59:18,3m - 4.632s,PASSED
"startApplication(""/Users/gv.vignesh/Downloads/WGR-Android-Automation/App Folder/app-debug.apk"", true)",,Launch the application,,27-03-2025 19:56:13,27-03-2025 19:56:22,8.230s,PASSED
delay(10),,,,27-03-2025 19:56:22,27-03-2025 19:56:32,10.011s,PASSED
"verifyElementExist(findTestObject(""Object Repository/Repo/android.view.View - Home""), 0)",,Verify Home element exists,,27-03-2025 19:56:32,27-03-2025 19:56:32,0.306s,PASSED
delay(5),,,,27-03-2025 19:56:32,27-03-2025 19:56:37,5.010s,PASSED
"tap(findTestObject(""Object Repository/Repo/android.view.View - Home""), 0)",,Tap on Home,,27-03-2025 19:56:37,27-03-2025 19:56:37,0.149s,PASSED
delay(10),,,,27-03-2025 19:56:37,27-03-2025 19:56:47,10.010s,PASSED
"verifyElementExist(findTestObject(""Object Repository/Repo/android.view.View - Home (1)""), 0)",,Verify Home element exists after tapping,,27-03-2025 19:56:47,27-03-2025 19:56:47,0.105s,PASSED
delay(5),,,,27-03-2025 19:56:47,27-03-2025 19:56:52,5.009s,PASSED
"verifyElementExist(findTestObject(""Object Repository/Repo/android.widget.TextView-Slide""), 0)",,Verify Slide text is present,,27-03-2025 19:56:52,27-03-2025 19:56:52,0.101s,PASSED
startX = 1000,,Perform Swipe action,,27-03-2025 19:56:52,27-03-2025 19:56:52,0.000s,PASSED
startY = 2000,,,,27-03-2025 19:56:52,27-03-2025 19:56:52,0.001s,PASSED
endX = 200,,,,27-03-2025 19:56:52,27-03-2025 19:56:52,0.000s,PASSED
endY = 1000,,,,27-03-2025 19:56:52,27-03-2025 19:56:52,0.000s,PASSED
"swipe(startX, startY, endX, endY)",,,,27-03-2025 19:56:52,27-03-2025 19:56:53,0.832s,PASSED
delay(5),,,,27-03-2025 19:56:53,27-03-2025 19:56:58,5.011s,PASSED
"homeText = View - Home (1)""), 0).trim()",,Get and verify Home text,,27-03-2025 19:56:58,27-03-2025 19:56:58,0.107s,PASSED
"println(""Home Text: "" + homeText)",,,,27-03-2025 19:56:58,27-03-2025 19:56:58,0.003s,PASSED
"verifyEqual(homeText, ""Home"", STOP_ON_FAILURE)",,,,27-03-2025 19:56:58,27-03-2025 19:56:58,0.005s,PASSED
delay(5),,,,27-03-2025 19:56:58,27-03-2025 19:57:03,5.009s,PASSED
"verifyElementExist(findTestObject(""Object Repository/Repo/android.view.View - My Account (1)""), 0)",,Verify My Account element exists,,27-03-2025 19:57:03,27-03-2025 19:57:03,0.092s,PASSED
delay(5),,,,27-03-2025 19:57:03,27-03-2025 19:57:08,5.011s,PASSED
"myAccountText = View - My Account (1)""), 0).trim()",,Get and verify My Account text,,27-03-2025 19:57:08,27-03-2025 19:57:08,0.096s,PASSED
"println(""My Account Text: "" + myAccountText)",,,,27-03-2025 19:57:08,27-03-2025 19:57:08,0.001s,PASSED
"verifyEqual(myAccountText, ""My Account"", STOP_ON_FAILURE)",,,,27-03-2025 19:57:08,27-03-2025 19:57:08,0.001s,PASSED
delay(15),,,,27-03-2025 19:57:08,27-03-2025 19:57:23,15.010s,PASSED
"scrollToText(""Recommended for you"")",,Scroll to text: Recommended for you,,27-03-2025 19:57:23,27-03-2025 19:57:27,4.043s,PASSED
delay(5),,,,27-03-2025 19:57:27,27-03-2025 19:57:32,5.012s,PASSED
delay(5),,,,27-03-2025 19:57:32,27-03-2025 19:57:38,5.012s,PASSED
"verifyElementExist(findTestObject(""Object Repository/Repo/android.widget.TextView - RECOMMENDED FOR YOU""), 0)",,Verify Recommended for you text is present,,27-03-2025 19:57:38,27-03-2025 19:57:38,0.106s,PASSED
delay(5),,,,27-03-2025 19:57:38,27-03-2025 19:57:43,5.010s,PASSED
"recommendedText = TextView - RECOMMENDED FOR YOU""), 0).trim()",,Get and verify Recommended for you text,,27-03-2025 19:57:43,27-03-2025 19:57:43,0.099s,PASSED
"println(""Recommended Text: "" + recommendedText)",,,,27-03-2025 19:57:43,27-03-2025 19:57:43,0.000s,PASSED
"verifyEqual(recommendedText, ""RECOMMENDED FOR YOU"", STOP_ON_FAILURE)",,,,27-03-2025 19:57:43,27-03-2025 19:57:43,0.001s,PASSED
delay(5),,,,27-03-2025 19:57:43,27-03-2025 19:57:48,5.008s,PASSED
"verifyElementExist(findTestObject(""Object Repository/Repo/android.widget.TextView - THINGS TO DO""), 0)",,Verify Things to Do section is present,,27-03-2025 19:57:48,27-03-2025 19:57:48,0.101s,PASSED
delay(5),,,,27-03-2025 19:57:48,27-03-2025 19:57:53,5.009s,PASSED
"thingsToDoText = TextView - THINGS TO DO""), 0).trim()",,Get and verify Things to Do text,,27-03-2025 19:57:53,27-03-2025 19:57:53,0.101s,PASSED
"println(""Things to Do Text: "" + thingsToDoText)",,,,27-03-2025 19:57:53,27-03-2025 19:57:53,0.001s,PASSED
"verifyEqual(thingsToDoText, ""THINGS TO DO"", STOP_ON_FAILURE)",,,,27-03-2025 19:57:53,27-03-2025 19:57:53,0.001s,PASSED
delay(5),,,,27-03-2025 19:57:53,27-03-2025 19:57:58,5.009s,PASSED
"verifyElementExist(findTestObject(""Object Repository/Repo/android.view.View-gain access""), 0)",,Verify Gain Access section is present,,27-03-2025 19:57:58,27-03-2025 19:57:58,0.101s,PASSED
delay(5),,,,27-03-2025 19:57:58,27-03-2025 19:58:03,5.009s,PASSED
