Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"println(""Customized Experience Text: "" + customizedExperienceText)",,,,01-04-2025 13:42:45,01-04-2025 13:42:45,0.000s,PASSED
"verifyEqual(customizedExperienceText, ""customized experience"", STOP_ON_FAILURE)",,,,01-04-2025 13:42:45,01-04-2025 13:42:45,0.002s,PASSED
delay(5),,,,01-04-2025 13:42:45,01-04-2025 13:42:50,5.007s,PASSED
"verifyElementExist(findTestObject(""Object Repository/Repo/android.widget.TextView - Login""), 0)",,Verify Login button is present,,01-04-2025 13:42:50,01-04-2025 13:42:51,0.934s,PASSED
delay(5),,,,01-04-2025 13:42:51,01-04-2025 13:42:56,5.008s,PASSED
"loginText = TextView - Login""), 0).trim()",,Get and verify Login text,,01-04-2025 13:42:56,01-04-2025 13:42:57,0.739s,PASSED
"println(""Login Text: "" + loginText)",,,,01-04-2025 13:42:57,01-04-2025 13:42:57,0.000s,PASSED
"verifyEqual(loginText, ""Login"", STOP_ON_FAILURE)",,,,01-04-2025 13:42:57,01-04-2025 13:42:57,0.002s,PASSED
"tap(findTestObject(""Object Repository/Repo/android.widget.TextView - Login""), 0)",,Tap on Login,,01-04-2025 13:42:57,01-04-2025 13:42:58,0.815s,PASSED
delay(30),,,,01-04-2025 13:42:58,01-04-2025 13:43:28,30.007s,PASSED
"verifyElementExist(findTestObject(""Object Repository/Repo/android.widget.TextView - WESTGATE Online Account Management""), 0)",,Verify WESTGATE Online Account Management text is present,,01-04-2025 13:43:28,01-04-2025 13:43:28,0.736s,PASSED
delay(5),,,,01-04-2025 13:43:28,01-04-2025 13:43:33,5.004s,PASSED
"westgateText = TextView - WESTGATE Online Account Management""), 0).trim()",,Get and verify WESTGATE Online Account Management text,,01-04-2025 13:43:33,01-04-2025 13:43:34,0.777s,PASSED
"println(""WESTGATE Text: "" + westgateText)",,,,01-04-2025 13:43:34,01-04-2025 13:43:34,0.001s,PASSED
"verifyEqual(westgateText, ""WESTGATE Online Account Management"", CONTINUE_ON_FAILURE)",,,,01-04-2025 13:43:34,01-04-2025 13:43:34,0.001s,PASSED
closeApplication(),,Close the application,,01-04-2025 13:43:34,01-04-2025 13:43:39,5.023s,PASSED
closeBrowser(),,,,01-04-2025 13:43:39,01-04-2025 13:43:39,0.003s,PASSED
