Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
WRMA-Android Regression,,,,27-03-2025 20:18:55,27-03-2025 20:26:05,7m - 9.599s,PASSED
,,,,,,,
Test Cases/Guest User Mode/C666-C719-C738_GuestUserMode,,"C666-Verify that the Settings in Guest Mode is displayed correctly
C719-Verify that the app version on the Settings menu in Guest Mode is correct
C738-Verify that the bottom navbar is displayed correctly when the user is in Guest state",,27-03-2025 20:18:56,27-03-2025 20:20:21,1m - 25.574s,PASSED
"startApplication(""/Users/gv.vignesh/Downloads/WGR-Android-Automation/App Folder/universal.apk"", false)",,Launch the Westgate mobile application,,27-03-2025 20:18:56,27-03-2025 20:19:07,11.341s,PASSED
delay(10),,Wait for the application to load completely,,27-03-2025 20:19:07,27-03-2025 20:19:17,10.027s,PASSED
"tap(findTestObject(""Object Repository/Repo/android.widget.TextView - Continue as a Guest""), 0)",,"Navigate through initial screen by tapping ""Continue as a Guest""",,27-03-2025 20:19:17,27-03-2025 20:19:18,0.587s,PASSED
delay(10),,Wait for guest mode initialization,,27-03-2025 20:19:18,27-03-2025 20:19:28,10.006s,PASSED
"tap(findTestObject(""Object Repository/Repo/android.widget.Button - menu""), 0)",,Open application menu,,27-03-2025 20:19:28,27-03-2025 20:19:28,0.222s,PASSED
delay(20),,Wait for menu to fully expand,,27-03-2025 20:19:28,27-03-2025 20:19:48,20.011s,PASSED
"tap(findTestObject(""Object Repository/Repo/android.widget.TabWidget (1)""), 0)",,Navigate to version information tab,,27-03-2025 20:19:48,27-03-2025 20:19:48,0.240s,PASSED
delay(10),,Wait for version information to load,,27-03-2025 20:19:48,27-03-2025 20:19:58,10.012s,PASSED
"actualVersionText = getText(findTestObject(""Object Repository/Repo/android.widget.Button - Version 2.81.111""), 0)",,Capture the actual version text,,27-03-2025 20:19:58,27-03-2025 20:19:58,0.190s,PASSED
"expectedVersionText = ""Version 2.81.111""",,Verify application version,,27-03-2025 20:19:58,27-03-2025 20:19:58,0.001s,PASSED
assert actualVersionText == expectedVersionText,,,,27-03-2025 20:19:58,27-03-2025 20:19:58,0.000s,PASSED
println(Version verification successful: $actualVersionText),,,,27-03-2025 20:19:58,27-03-2025 20:19:58,0.014s,PASSED
"tap(findTestObject(""Object Repository/Repo/android.widget.Button - menu""), 0)",,Return to home screen,,27-03-2025 20:19:58,27-03-2025 20:19:58,0.144s,PASSED
delay(10),,,,27-03-2025 20:19:58,27-03-2025 20:20:08,10.007s,PASSED
"homeElementExists = verifyElementExist(findTestObject(""Object Repository/Repo/android.view.View - Home""), 0)",,"Verify ""Home"" element exists",,27-03-2025 20:20:08,27-03-2025 20:20:09,0.073s,PASSED
"assert homeElementExists : ""Element 'Home' does not exist.""",,,,27-03-2025 20:20:09,27-03-2025 20:20:09,0.001s,PASSED
"homeText = getText(findTestObject(""Object Repository/Repo/android.view.View - Home""), 0)",,"Retrieve and verify ""Home"" text",,27-03-2025 20:20:09,27-03-2025 20:20:09,0.048s,PASSED
"assert homeText == ""Home""",,,,27-03-2025 20:20:09,27-03-2025 20:20:09,0.001s,PASSED
"println(""Home screen verification successful."")",,,,27-03-2025 20:20:09,27-03-2025 20:20:09,0.002s,PASSED
"tap(findTestObject(""Object Repository/Repo/android.view.View - My Account""), 0)",,"Navigate to ""My Account"" section",,27-03-2025 20:20:09,27-03-2025 20:20:09,0.103s,PASSED
delay(10),,,,27-03-2025 20:20:09,27-03-2025 20:20:19,10.010s,PASSED
"myAccountElementExists = verifyElementExist(findTestObject(""Object Repository/Repo/android.view.View - My Account""), 0)",,"Verify ""My Account"" element exists",,27-03-2025 20:20:19,27-03-2025 20:20:19,0.145s,PASSED
"assert myAccountElementExists : ""Element 'My Account' does not exist.""",,,,27-03-2025 20:20:19,27-03-2025 20:20:19,0.000s,PASSED
"myAccountText = getText(findTestObject(""Object Repository/Repo/android.view.View - My Account""), 0)",,"Retrieve and verify ""My Account"" text",,27-03-2025 20:20:19,27-03-2025 20:20:19,0.047s,PASSED
"assert myAccountText == ""My Account""",,,,27-03-2025 20:20:19,27-03-2025 20:20:19,0.000s,PASSED
